Samples,1422982_at,1437064_at,1455647_at
3T3-L1.1,6.777,8.579,8.233
3T3-L1.2,6.954,6.524,8.233
B-cells_GL7_negative_KLH.1,6.777,6.524,5.873
B-cells_GL7_negative_KLH.2,6.777,5.985,8.662
B-cells_GL7_positive_Alum.1,6.777,6.524,9.522
B-cells_GL7_positive_Alum.2,6.777,4.636,8.233
B-cells_GL7_positive_KLH.1,7.704,7.274,8.689
B-cells_GL7_positive_KLH.2,6.777,7.609,9.987
B-cells_GL7_negative_Alum.1,6.727,7.609,8.233
B-cells_GL7_negative_Alum.2,9.04,4.636,8.233
B-cells_marginal_zone.1,12.898,10.046,24.07
B-cells_marginal_zone.2,10.994,10.022,15.541
Baf3.1,6.853,7.869,9.58
Baf3.2,6.777,10.046,25.002
C2C12.1,7.704,10.046,27.814
C2C12.2,13.82,11.155,47.378
C3H_10T1_2.1,6.777,4.636,15.541
C3H_10T1_2.2,7.991,7.609,13.545
MEF.1,7.704,10.046,17.611
NK_cells.1,7.704,108.719,165.756
NK_cells.2,8.65,168.965,189.643
RAW_264_7.1,5.296,7.869,9.987
RAW_264_7.2,7.704,7.609,8.233
T-cells_CD4+.1,21.005,50.14,132.064
T-cells_CD4+.2,11.874,31.283,117.775
T-cells_CD8+.1,32.25,56.847,158.364
T-cells_CD8+.2,54.062,41.842,198.727
T-cells_foxP3+.1,7.704,18.126,27.109
T-cells_foxP3+.2,11.332,20.34,53.931
Adipose_brown.1,103.522,158.048,595.381
Adipose_brown.2,38.857,42.362,332.297
Adipose_white.1,399.117,674.187,2427.654
Adipose_white.2,629.085,924.709,2989.437
Adrenal_gland.1,595.81,1026.408,3047.038
Adrenal_gland.2,515.475,1020.935,2759.593
Amygdala.1,78.966,138.228,509.108
Amygdala.2,92.824,140.207,499.627
Bladder.1,68.477,114.221,449.012
Bladder.2,59.558,106.093,334.512
Bone.1,9.132,24.996,74.792
Bone.2,12.132,21.392,62.675
Bone_marrow.1,8.077,7.609,22.242
Bone_marrow.2,10.215,10.046,32.869
Cerebellum.1,6.954,10.046,57.46
Cerebellum.2,9.414,16.965,86.061
Cerebral_cortex.1,41.388,52.629,232.056
Cerebral_cortex.2,36.519,77.236,251.62
Cerebral_cortex_prefrontal.1,74.57,75.697,263.981
Cerebral_cortex_prefrontal.2,48.364,92.708,352.22
Ciliary_bodies.1,11.192,10.046,46.714
Ciliary_bodies.2,8.008,13.642,33.411
Common_myeloid_progenitor.1,7.479,7.609,25.528
Common_myeloid_progenitor.2,7.704,7.609,13.545
Cornea.1,6.777,7.609,7.689
Cornea.2,10.276,7.609,9.987
Dendritic_cells_lymphoid_CD8a+.1,6.777,8.184,22.038
Dendritic_cells_lymphoid_CD8a+.2,6.777,7.609,13.545
Dendritic_cells_myeloid_CD8a-.1,7.644,7.609,15.541
Dendritic_cells_myeloid_CD8a-.2,7.704,6.524,8.233
Dendritic_plasmacytoid_B220+.1,7.704,9.36,15.452
Dendritic_plasmacytoid_B220+.2,8.368,6.524,21.257
Dorsal_root_ganglia.1,60.071,61.484,339.759
Dorsal_root_ganglia.2,60.15,100.598,382.908
Dorsal_striatum.1,51.903,116.001,521.373
Dorsal_striatum.2,54.066,117.612,426.411
Embryonic_stem_line_Bruce4_p13.1,6.777,7.609,15.541
Embryonic_stem_line_Bruce4_p13.2,6.954,7.609,24.07
Embryonic_stem_line_V26_2_p16.1,6.954,9.73,9.653
Embryonic_stem_line_V26_2_p16.2,6.777,10.046,8.233
Epidermis.1,111.682,238.238,777.043
Epidermis.2,85.867,389.033,1222.463
Eyecup.1,86.256,10.046,171.016
Eyecup.2,42.083,23.399,202.096
Follicular_B-cells.1,5.302,9.381,9.715
Follicular_B-cells.2,5.279,7.609,9.987
Granulo_mono_progenitor.1,7.704,7.379,5.649
Granulo_mono_progenitor.2,7.704,7.644,8.233
Granulocytes_mac1+gr1+.1,7.704,10.046,13.545
Granulocytes_mac1+gr1+.2,8.754,6.713,13.545
Heart.1,21.009,10.046,76.049
Heart.2,8.788,10.81,75.05
Hippocampus.1,37.422,81.708,330.98
Hippocampus.2,26.485,40.514,180.953
Hypothalamus.1,133.113,188.604,481.604
Hypothalamus.2,119.742,132.342,664.547
Intestine_large.1,6.777,8.925,15.541
Intestine_large.2,5.279,7.58,10.315
Intestine_small.1,5.687,7.869,10.06
Intestine_small.2,6.402,10.046,13.545
Iris.1,7.704,7.609,15.133
Iris.2,6.954,10.046,16.047
Kidney.1,267.064,303.007,893.385
Kidney.2,282.197,277.602,1024.871
Lacrimal_gland.1,1424.448,1642.57,3932.117
Lacrimal_gland.2,1293.38,1582.583,4460.1
Lens.1,6.954,7.609,8.233
Lens.2,6.954,7.609,19.829
Liver.1,10.51,8.487,15.541
Liver.2,16.858,10.046,39.286
Lung.1,11.046,23.812,106.608
Lung.2,19.396,19.194,75.563
Lymph_nodes.1,6.777,19.747,70.279
Lymph_nodes.2,7.742,11.567,67.832
MIMCD-3.1,6.954,6.061,15.541
MIMCD-3.2,5.498,7.609,9.429
Macrophage_bone_marrow_0hr.1,9.591,5.225,9.987
Macrophage_bone_marrow_0hr.2,6.777,7.869,15.541
Macrophage_bone_marrow_24h_LPS.1,6.777,8.906,15.541
Macrophage_bone_marrow_24h_LPS.2,5.279,9.978,9.987
Macrophage_bone_marrow_2hr_LPS.1,8.681,7.609,8.233
Macrophage_bone_marrow_2hr_LPS.2,6.777,6.524,9.987
Macrophage_bone_marrow_6hr_LPS.1,31.024,6.781,13.847
Macrophage_bone_marrow_6hr_LPS.2,7.319,4.636,13.545
Macrophage_peri_LPS_thio_0hrs.1,6.954,4.636,8.233
Macrophage_peri_LPS_thio_0hrs.2,10.333,7.869,13.545
Macrophage_peri_LPS_thio_1hrs.1,11.377,6.524,13.545
Macrophage_peri_LPS_thio_1hrs.2,6.954,7.084,17.257
Macrophage_peri_LPS_thio_7hrs.1,6.777,6.524,13.545
Macrophage_peri_LPS_thio_7hrs.2,6.954,7.825,13.545
Mammary_gland__lact.1,31.474,19.129,174.674
Mammary_gland__lact.2,24.293,30.34,201.492
Mammary_gland_non-lactating.1,354.184,522.635,1458.041
Mammary_gland_non-lactating.2,222.819,442.62,1422.107
Mast_cells.1,73.21,147.94,486.746
Mast_cells.2,67.43,162.011,507.8
Mast_cells_IgE.1,50.471,900.553,1503.465
Mast_cells_IgE.2,42.107,677.217,1414.494
Mast_cells_IgE+antigen_1hr.1,86.471,288.857,890.115
Mast_cells_IgE+antigen_1hr.2,55.323,273.594,1057.125
Mast_cells_IgE+antigen_6hr.1,171.924,417.864,1220.652
Mast_cells_IgE+antigen_6hr.2,127.808,448.319,1451.077
Mega_erythrocyte_progenitor.1,6.777,10.046,9.987
Mega_erythrocyte_progenitor.2,7.704,7.869,13.545
Microglia.1,7.704,7.869,13.545
Microglia.2,6.777,6.524,8.233
Min6.1,5.279,7.609,13.545
Min6.2,6.777,7.681,8.233
Neuro2a.1,7.443,5.142,8.233
Neuro2a.2,6.777,4.636,13.545
Nih_3T3.1,4.636,6.524,8.745
Nih_3T3.2,6.13,6.524,9.987
Nucleus_accumbens.1,23.794,39.097,111.072
Nucleus_accumbens.2,25.532,66.767,171.601
Olfactory_bulb.1,6.986,8.854,55.002
Olfactory_bulb.2,9.132,10.046,33.865
Osteoblast_day14.1,8.28,10.046,70.58
Osteoblast_day14.2,7.704,10.188,42.028
Osteoblast_day21.1,13.646,12.209,110.261
Osteoblast_day21.2,25.176,27.764,183.182
Osteoblast_day5.1,6.954,7.363,22.338
Osteoblast_day5.2,7.704,7.869,16.428
Osteoclasts.1,6.954,6.524,9.987
Osteoclasts.2,6.777,8.48,11.24
Ovary.1,406.09,911.959,2246.78
Ovary.2,411.217,843.451,2613.541
Pancreas.1,10.335,14.448,27.422
Pancreas.2,9.85,11.1,36.607
Pituitary.1,227.529,408.857,1240.29
Pituitary.2,229.448,329.517,973.44
Placenta.1,6.988,4.746,10.433
Placenta.2,6.777,4.871,13.545
Prostate.1,472.958,1003.555,3234.56
Prostate.2,447.337,1210.772,3623.272
Retina.1,7.704,6.56,13.213
Retina.2,6.777,7.609,16.03
Retinal_pigment_epithelium.1,7.748,6.524,13.159
Retinal_pigment_epithelium.2,6.954,7.869,12.359
Salivary_gland.1,248.058,675.421,1820.009
Salivary_gland.2,447.76,805.508,2378.111
Skeletal_muscle.1,582.082,911.608,2246.037
Skeletal_muscle.2,368.408,741.02,1884.068
Spinal_cord.1,40.385,68.073,181.768
Spinal_cord.2,45.773,85.648,209.386
Spleen.1,8.114,7.609,15.541
Spleen.2,7.148,10.046,13.545
Stem_cells__HSC.1,7.704,7.869,18.252
Stem_cells__HSC.2,7.704,7.869,16.103
Stomach.1,9.503,10.046,21.18
Stomach.2,6.777,7.922,54.461
Testis.1,14.586,16.412,65.953
Testis.2,9.788,29.304,38.338
Thymocyte_DP_CD4+CD8+.1,7.704,10.046,15.541
Thymocyte_DP_CD4+CD8+.2,6.954,7.609,8.233
Thymocyte_SP_CD4+.1,7.704,11.802,84.421
Thymocyte_SP_CD4+.2,7.918,13.407,53.012
Thymocyte_SP_CD8+.1,42.5,40.699,154.645
Thymocyte_SP_CD8+.2,50.773,54.212,133.194
Umbilical_cord.1,6.777,6.524,29.63
Umbilical_cord.2,6.777,7.197,30.675
Uterus.1,304.324,1150.958,2307.035
Uterus.2,141.764,651.418,1618.752
